Razão Social;Fundo;Código
FG/AGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROIND FIAGRO IMOBILIÁRIO RESP LIMITADA;FIAGRO FGA;FGAA;
FIAGRO JGP CRÉDITO - FIAGRO - IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FIAGRO JGP;JGPX;
FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS EXES ARAGUAIA - FIAGRO - IMOBILIÁRIO;FIAGRO AGRX;AGRX;
FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS RIZA AGRO - FIAGRO - IMOBILIÁRIO;FIAGRO RIZA;RZAG;
FYTO RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FI AGRO FYTO;FTCA;
GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FIAGRO GLPG;GCRA;
GREENWICH AGRO FIAGRO - IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FIAGRO GRWA;GRWA;
HEDGE CRÉDITO AGRO FIAGRO DE RESPONSABILIDADE LIMITADA;FIAGRO HEDGE;HCRA;
HIGH FUNDO DE INVESTIMENTO AGRO - FIAGRO - IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FIAGRO HIGH;HGAG;
ID GOIANA FUNDO DE INVESTIMENTO FIAGRO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FIAGRO IDGO;IDGO;
INTER AMERRA FIAGRO RESPONSABILIDADE LIMITADA;FIAGRO IAAG;IAAG;
ITAÚ ASSET RURAL FIAGRO RESPONSABILIDADE LIMITADA;FIAGRO RURA;RURA;
KINEA AGRO INCOME USD FIAGRO - IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FIAGRO KDOL;KDOL;
KINEA CRÉDITO AGRO FIAGRO - RESPONSABILIDADE LIMITADA;FIAGRO KINEA;KNCA;
KINEA OPORTUNIDADES AGRO I FIAGRO - RESPONSABILIDADE LIMITADA;FIAGRO KOPA;KOPA;
LESTE FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS- FIAGRO - IMOBILIÁRIO;FIAGRO LESTE;LSAG;
MBS AGRO FIAGRO - IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FIAGRO MBSA;MBSA;
MBS FAZENDA I FIAGRO RESPONSABILIDADE LIMITADA;FIAGRO FAZP;FAZP;
NEX CRÉDITO AGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO RESP LIMITADA;FIAGRO NEXG;NEXG;
OURINVEST INNOVATION - FIAGRO RESPONSABILIDADE LIMITADA;FIAGRO INNOV;OIAG;
PATRIA CREDITO AGRO FI NAS CADEIAS PRODUTIVAS DO AGRONEGOCIO - FIAGRO - RESP LIMITADA;FIAGRO PLUR;PLCA;
RIZA EOS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS  FIAGRO  IMOBILIÁRIO;FIAGRO RZEO;RZEO;
RIZA NERO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO PARTICIPAÇÕES MULT;FIAGRO RZNE;RZNE;
SFI INVESTIMENTOS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FIAGRO SFI;IAGR;
SPARTA FIAGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - IMOB RESP LIMITADA;FIAGRO CRAA;CRAA;
SUNO AGRO - FIAGRO RESPONSABILIDADE LIMITADA;FIAGRO SUNO;SNAG;
SUNO FAZENDAS FIAGRO - IMOBILIÁRIO;FIAGRO SNFZ;SNFZ;
TANE FLEM FUNDO DE INVESTIMENTO EM CADEIAS PRODUTIVAS AGROINDUSTRIAIS IMOBILIÁRIO;FIAGRO FLEM;FLEM;
TANE FZDA FUNDO DE INVESTIMENTO EM CADEIAS PRODUTIVAS AGROINDUSTRIAIS;FIAGRO FZDA;FZDA;
TANE FZDB FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS;FIAGRO FZDB;FZDB;
TRUST FEEDER FIAGRO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FIAGRO TRAG;TRAG;
VALORA CRA FUNDO DE INVESTIMENTO NAS CADEIRAS PRODUTIVAS DO AGRONEGÓCIO FIAGRO - RESP LIMITADA;FIAGRO VGIA;VGIA;
VALORA HEDGE FUND AGRO - FIAGRO - IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FIAGRO VHFA;VHFA;
VECTIS DATAGRO CRÉDITO AGRONEGÓCIO - FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;FIAGRO VCRA;VCRA;
XP CRÉDITO AGRÍCOLA-FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS IMOB.-FIAGRO-IMOB.;FIAGRO XP CA;XPCA;
